Date,Open,High,Low,Close,Adj Close,Volume
2017-03-07,71.440002,71.440002,70.730003,70.930000,68.228195,738700
2017-03-08,70.989998,71.330002,70.660004,70.730003,68.035820,827200
2017-03-09,71.040001,71.269997,70.709999,71.080002,68.372482,720800
2017-03-10,71.309998,71.570000,70.269997,70.959999,68.257050,1085200
2017-03-13,70.879997,71.019997,70.430000,70.779999,68.083900,1056200
2017-03-14,70.650002,70.940002,70.510002,70.709999,68.016571,691500
2017-03-15,70.690002,70.910004,70.360001,70.820000,68.432060,956000
2017-03-16,70.779999,71.260002,70.370003,71.160004,68.760605,1099200
2017-03-17,71.120003,71.459999,70.849998,70.879997,68.490051,1551600
2017-03-20,70.650002,71.029999,70.540001,70.769997,68.383751,632600
2017-03-21,71.050003,71.209999,69.690002,69.739998,67.388474,1142600
2017-03-22,69.809998,69.959999,69.389999,69.699997,67.349823,712700
2017-03-23,69.769997,70.220001,69.610001,69.730003,67.378830,839900
2017-03-24,69.919998,70.540001,69.680000,69.849998,67.494766,844700
2017-03-27,69.269997,69.400002,68.790001,69.010002,66.683105,525900
2017-03-28,68.980003,69.389999,68.599998,69.139999,66.808716,969400
2017-03-29,68.970001,69.010002,68.430000,68.669998,66.354561,601100
2017-03-30,68.699997,69.510002,68.519997,69.389999,67.050285,895000
2017-03-31,69.169998,69.639999,68.879997,69.449997,67.108253,900500
2017-04-03,69.279999,69.599998,68.830002,68.910004,66.586479,677800
2017-04-04,68.830002,68.940002,68.070000,68.629997,66.315903,800000
2017-04-05,69.019997,69.900002,68.550003,69.089996,66.760391,799700
2017-04-06,69.040001,69.639999,68.720001,69.129997,66.799049,538200
2017-04-07,68.769997,69.580002,68.739998,69.220001,66.886024,822300
2017-04-10,69.279999,69.709999,69.110001,69.360001,67.021301,676600
2017-04-11,69.070000,69.330002,68.510002,69.000000,66.673439,701700
2017-04-12,68.900002,68.910004,68.430000,68.680000,66.364220,685800
2017-04-13,68.580002,68.690002,67.919998,68.110001,65.813446,783400
2017-04-17,68.230003,69.099998,68.089996,69.080002,66.750740,597400
2017-04-18,68.809998,69.239998,68.430000,69.099998,66.770065,1041700
2017-04-19,69.419998,69.639999,69.070000,69.169998,66.837700,488600
2017-04-20,69.580002,70.209999,69.129997,70.120003,67.755684,685000
2017-04-21,69.970001,70.300003,69.660004,69.910004,67.552750,833600
2017-04-24,70.830002,70.989998,70.110001,70.449997,68.074532,1117200
2017-04-25,70.879997,70.970001,70.440002,70.529999,68.151848,760500
2017-04-26,70.220001,70.540001,68.930000,69.540001,67.195236,1873500
2017-04-27,69.419998,69.519997,68.279999,68.669998,66.354561,1561200
2017-04-28,68.650002,69.019997,68.360001,68.870003,66.547821,1047700
2017-05-01,69.239998,69.239998,68.430000,68.440002,66.132317,626700
2017-05-02,68.449997,68.639999,68.019997,68.360001,66.055023,570500
2017-05-03,68.339996,68.529999,67.279999,67.809998,65.523567,1213500
2017-05-04,68.099998,68.099998,67.300003,67.959999,65.668495,850000
2017-05-05,67.959999,68.070000,67.529999,67.910004,65.620193,579100
2017-05-08,67.900002,68.029999,66.739998,67.029999,64.769859,982800
2017-05-09,67.180000,67.400002,66.730003,66.750000,64.499306,1186400
2017-05-10,66.660004,66.820000,65.980003,66.750000,64.499306,984100
2017-05-11,66.750000,67.330002,66.279999,67.199997,64.934120,1359900
2017-05-12,67.010002,67.730003,66.970001,67.550003,65.272331,1067700
2017-05-15,67.440002,68.070000,67.440002,67.769997,65.484901,839600
2017-05-16,67.750000,67.839996,67.250000,67.370003,65.098404,766800
2017-05-17,66.769997,67.220001,66.620003,66.730003,64.479988,827400
2017-05-18,66.739998,66.930000,65.980003,66.739998,64.489632,1411900
2017-05-19,66.790001,67.510002,66.610001,67.440002,65.166039,937500
2017-05-22,67.699997,67.989998,67.370003,67.910004,65.620193,685300
2017-05-23,67.970001,68.139999,67.680000,67.930000,65.639511,427500
2017-05-24,68.160004,68.320000,67.660004,67.669998,65.388268,542500
2017-05-25,67.669998,68.330002,67.620003,68.190002,65.890762,411400
2017-05-26,68.150002,68.300003,67.540001,67.580002,65.301331,561600
2017-05-30,67.480003,67.709999,67.199997,67.419998,65.146706,618900
2017-05-31,67.680000,68.059998,67.290001,67.650002,65.368958,1148300
2017-06-01,68.050003,68.129997,67.379997,67.870003,65.581535,699400
2017-06-02,68.019997,68.019997,67.370003,67.500000,65.224014,521800
2017-06-05,67.510002,68.480003,67.510002,67.870003,65.581535,605100
2017-06-06,67.720001,68.320000,67.500000,68.260002,65.958389,630000
2017-06-07,68.540001,69.650002,68.349998,69.599998,67.253197,857500
2017-06-08,69.610001,70.489998,69.610001,70.209999,67.842621,969200
2017-06-09,70.809998,70.809998,70.279999,70.540001,68.161514,1120700
2017-06-12,70.459999,70.879997,70.309998,70.400002,68.026230,1020100
2017-06-13,70.480003,71.930000,70.480003,71.489998,69.079475,932600
2017-06-14,71.040001,71.419998,70.860001,71.050003,69.021202,1438800
2017-06-15,70.870003,71.050003,70.550003,70.949997,68.924042,1296300
2017-06-16,70.540001,71.190002,70.540001,71.160004,69.128052,1309300
2017-06-19,71.410004,71.449997,70.970001,71.139999,69.108627,861100
2017-06-20,70.949997,71.040001,70.169998,70.269997,68.263458,875500
2017-06-21,70.400002,70.430000,69.570000,69.760002,67.768028,628300
2017-06-22,69.760002,69.870003,69.449997,69.529999,67.544594,418900
2017-06-23,69.669998,69.959999,69.580002,69.860001,67.865173,898000
2017-06-26,69.930000,70.379997,69.809998,70.300003,68.292610,818800
2017-06-27,70.370003,70.970001,70.300003,70.680000,68.661758,582500
2017-06-28,70.940002,71.839996,70.790001,71.629997,69.584625,691800
2017-06-29,72.000000,72.139999,71.250000,71.540001,69.497208,764300
2017-06-30,71.580002,71.959999,71.480003,71.489998,69.448616,660200
2017-07-03,71.510002,72.279999,71.489998,71.650002,69.604057,473300
2017-07-05,71.690002,72.139999,71.540001,71.680000,69.633202,927300
2017-07-06,71.540001,71.669998,71.160004,71.260002,69.225197,629100
2017-07-07,71.400002,71.779999,70.940002,71.629997,69.584625,612500
